id,area,aspects,solidities,extents,perimeters,eccentricities,labels
172,9255.5,1.55801104972,0.934474219451,0.181331060695,732.790970206,1.0,2
173,8022.5,1.37951807229,0.919326179805,0.211040669227,619.05085516,1.0,2
174,7559.5,1.27777777778,0.915637101313,0.225427923898,576.423440099,0.99,2
175,8883.5,1.53631284916,0.920522243194,0.180467242255,720.64883399,1.0,2
176,10338.0,1.60209424084,0.93156115403,0.176881223694,790.832600832,1.0,2
177,10611.0,1.60309278351,0.931157027501,0.175870984851,804.489455342,1.0,2
178,9996.5,1.61621621622,0.926760293638,0.180719515502,771.276252031,1.0,2
179,10209.0,1.68508287293,0.940401612561,0.184928901368,777.033611894,1.0,2
180,11538.5,1.61951219512,0.931764033337,0.169534234499,855.016365767,1.0,2
181,8299.0,1.38823529412,0.915297221625,0.20685443669,635.778777122,1.0,2
182,10432.0,1.68852459016,0.939227505724,0.184483703822,786.690466166,1.0,2
183,11444.0,1.61764705882,0.932263443996,0.169994058229,849.602152705,1.0,2
184,11303.5,1.61881188119,0.922772350522,0.171125140037,843.702658176,1.0,2
185,9219.0,1.58241758242,0.923978943383,0.175881410256,747.376756191,1.0,2
186,8235.5,1.60355029586,0.912167016535,0.179818336645,702.021417856,1.0,2
187,10459.0,1.625,0.925739060668,0.174596020299,802.489455342,1.0,2
188,9254.5,1.5737704918,0.925496265558,0.175593882817,746.447824359,1.0,2
189,8944.0,1.43956043956,0.91917166724,0.187568157034,700.063047051,1.0,2
190,10736.0,1.61734693878,0.932227665244,0.172793407584,816.974735379,1.0,2
191,10234.0,1.60846560847,0.930236777437,0.178118908382,786.347319484,1.0,2
192,9184.0,1.51704545455,0.937669090432,0.19543752128,699.234621167,1.0,2
193,7851.0,1.35220125786,0.950196660209,0.229662132514,582.322932959,0.99,2
194,9195.0,1.61142857143,0.94438452273,0.18632218845,724.891475081,1.0,2
195,8554.5,1.40828402367,0.921027121867,0.212682114266,638.364563346,1.0,2
196,9361.0,1.61170212766,0.919954784335,0.164331858718,781.175746083,1.0,2
197,8883.5,1.53631284916,0.920522243194,0.180467242255,720.64883399,1.0,2
198,9123.0,1.58241758242,0.927087028839,0.174049908425,748.548329353,1.0,2
199,9734.5,1.67816091954,0.942215545253,0.191593843489,745.820408702,1.0,2
200,10810.0,1.61421319797,0.930452737731,0.172556907065,819.803162932,1.0,2
201,10379.5,1.62433862434,0.929812766014,0.178885959016,790.589960933,1.0,2
202,10337.0,1.65979381443,0.900984913266,0.165476724083,825.317882299,1.0,2
203,10984.5,1.61421319797,0.928764683108,0.175342400153,819.217377424,1.0,2
204,11372.5,1.60891089109,0.935931191376,0.173229246002,837.359511614,1.0,2
205,9061.0,1.61956521739,0.917290940299,0.16525021885,774.205183506,1.0,2
206,10366.5,1.60209424084,0.921917373632,0.1773688533,791.418387532,1.0,2
207,10536.5,1.63541666667,0.916257220607,0.174769440021,805.903668642,1.0,2
208,10252.0,1.6170212766,0.925312505751,0.179381298992,783.175747037,1.0,2
209,10459.0,1.625,0.925739060668,0.174596020299,802.489455342,1.0,2
210,7283.0,1.29936305732,0.916561780562,0.227394779568,564.523945332,0.99,2
211,11572.0,1.61951219512,0.934695683254,0.170026447252,855.602152348,1.0,2
212,8981.0,1.66860465116,0.943085152336,0.181934203063,732.406195164,1.0,2
213,10380.0,1.61458333333,0.923159009933,0.17439516129,798.489455342,1.0,2
214,9223.0,1.4347826087,0.917665778641,0.189867424242,708.063047409,1.0,2
215,9040.0,1.56111111111,0.925234113656,0.178726769474,730.548328757,1.0,2
216,9041.0,1.55865921788,0.927186945675,0.181033619671,724.548328638,1.0,2
217,10176.5,1.62234042553,0.93225539637,0.177476456226,783.418387294,1.0,2
218,9210.0,1.4347826087,0.921783506763,0.189599802372,701.033610344,1.0,2
219,11121.0,1.60891089109,0.933909968644,0.169398324448,839.116871834,1.0,2
220,8826.0,1.5730994152,0.940436857321,0.191873736386,696.749339938,1.0,2
221,8826.0,1.5730994152,0.940436857321,0.191873736386,696.749339938,1.0,2
